tweet_id,username,text,created_at,location,source,url
1554558723250704385,ampvolvox,"Since I butchered the previous artwork of this character I decided to try again. But because it's not Sunday anymore this one will be covered everywhere besides patreon. Istg its not on purpose😅
#chainsawmanpart2 #chainsawman #chainsawmanfanart #wardevil #asamitaka https://t.co/2FSCogfI9G",2022-08-02 20:04:16+00:00,Украина,Twitter Web App,https://twitter.com/ampvolvox/status/1554558723250704385
1554556775470452737,nocherrypiforu,"csm 100//
that is. the war devil. of course they will jump to violence https://t.co/J6U7h264HC",2022-08-02 19:56:32+00:00,"they/them , 17",Twitter for iPhone,https://twitter.com/nocherrypiforu/status/1554556775470452737
1554556672059875328,lapstablook,"I really like the developing relationship between Asa and Yoru, it feels like they're slowly understanding each other and yeah Yoru is still a violent weirdo, but I like the way Fujimoto is humanizing War Devil so far. I want to believe that they'll become friends one day.",2022-08-02 19:56:07+00:00,,Twitter Web App,https://twitter.com/lapstablook/status/1554556672059875328
1554555280356036610,Harry_Monster_,Asa and the War Devil. I'm really loving Chainsaw Man Part 2 so far https://t.co/8WrGo3Iv5t,2022-08-02 19:50:35+00:00,"Colorado, USA",Twitter for Android,https://twitter.com/Harry_Monster_/status/1554555280356036610
1554554763928375296,CruzControl887,"Ik she might be like crazy and a war devil, but Yoru kinda fine ngl 🌝 https://t.co/xvKX8Hc2V6",2022-08-02 19:48:32+00:00,Android 21’s tiddies,Twitter for iPhone,https://twitter.com/CruzControl887/status/1554554763928375296
1554553578974494721,chaengsawman,i see so the war devil has no fear,2022-08-02 19:43:50+00:00,#1 kiamei truther ,Twitter for iPhone,https://twitter.com/chaengsawman/status/1554553578974494721
1554551909323014146,yomi_nyanya,"Didn't realise Asa's name literaly means ""morning"" till the war devil called herself ""Yoru""",2022-08-02 19:37:12+00:00,Read Pin Pls,Twitter for Android,https://twitter.com/yomi_nyanya/status/1554551909323014146
1554551782289903620,Typphoon24,anybody else see the god of war resemblence to the war devil lol? like the way she talks to asa mitaka is exactly like kratos to atreus https://t.co/LiHda3Wkff,2022-08-02 19:36:41+00:00,,Twitter Web App,https://twitter.com/Typphoon24/status/1554551782289903620
1554550588758687744,geostatonary,[War Devil voice] what are you making friends with girls for? To turn them into weapons?,2022-08-02 19:31:57+00:00,Nothing moves in nothing,Twitter for Android,https://twitter.com/geostatonary/status/1554550588758687744
1554550019482562561,313DEEZY,The war devil one crazy bitch,2022-08-02 19:29:41+00:00,,Twitter for iPhone,https://twitter.com/313DEEZY/status/1554550019482562561
1554548899121020928,dilucragnvindrs,war devil's real name being yoru... and asa (night and morning),2022-08-02 19:25:14+00:00,© 13juzo13_,Twitter Web App,https://twitter.com/dilucragnvindrs/status/1554548899121020928
1554547185026584578,jeiku_jonzu,"(*NEW VIDEO*) The reveal of the war devil's true name Yoru might have more implications than we originally thought... Find out more in my new #chainsawman review! :)

The TRUE meaning of the War Devil's new name.. | Chainsaw Man chapter 10... https://t.co/PpWcqkjpAo via @YouTube https://t.co/Cuebgb8rVE",2022-08-02 19:18:25+00:00,chainsaw man beach episode,Twitter Web App,https://twitter.com/jeiku_jonzu/status/1554547185026584578
1554545956237889536,Konosekai0,"War devil 

#sketch #chainsawmanfanart #CLIPSTUDIOPAINT https://t.co/BxQx72koj3",2022-08-02 19:13:32+00:00,,Twitter for Android,https://twitter.com/Konosekai0/status/1554545956237889536
1554545752306864129,g0thbunni,The war devil Yoru https://t.co/BLs3eddIGf,2022-08-02 19:12:44+00:00,ur mom ,Twitter for iPhone,https://twitter.com/g0thbunni/status/1554545752306864129
1554545559645683715,Hidet0shi1,"The War Devil keeps ceding to Asa's demands
I know a lot of people see this as an act of compassion, but don't forget, this is the War Devil we talkin about, it's probably ceding to achieve some long term goal with her. War Devil, or Yoru, probably has read the Art of War lmao",2022-08-02 19:11:58+00:00,"Paraná, Brasil",Twitter Web App,https://twitter.com/Hidet0shi1/status/1554545559645683715
1554545300005462016,Kisekio__,"NEW CSM CHAPTER EPIC. I’m glad the rules for how the war devil is summoned and it’s powers have been been clarified. I also find it interesting how Yoru is being humanized a lot, in both a devil societal manner and through a human name. Bat devil at the end was cool too",2022-08-02 19:10:56+00:00,Los Angeles,Twitter for iPhone,https://twitter.com/Kisekio__/status/1554545300005462016
1554541876878778368,aidanabilav,there better be some makima crumbs soon because i’m about to catch feelings for the war devil,2022-08-02 18:57:20+00:00,,Twitter for iPhone,https://twitter.com/aidanabilav/status/1554541876878778368
1554540693808418817,Grlypillowfight,War devil brain worms GET OUT 🫠,2022-08-02 18:52:38+00:00,Aether - Cactuar,Twitter for iPhone,https://twitter.com/Grlypillowfight/status/1554540693808418817
1554538849862393858,MakaiVerse,"//CSM Ch.101 spoilers

Okay but can we talk about this nigga War Devil?? brodie looked at Asa with a straight face and was like ""Cool friend you got there, we should kill her"". I'm shook bro😭",2022-08-02 18:45:18+00:00,Portfolio Site Coming Soon,Twitter Web App,https://twitter.com/MakaiVerse/status/1554538849862393858
1554538556655378432,timeforbyrnesie,"Me @ me

#wardevil https://t.co/UrQJzsBcoY",2022-08-02 18:44:08+00:00,,Twitter for iPhone,https://twitter.com/timeforbyrnesie/status/1554538556655378432
1554536274890981376,GildemAlien,War devil is so scary https://t.co/kjYO3xcL3i,2022-08-02 18:35:04+00:00,,Twitter Web App,https://twitter.com/GildemAlien/status/1554536274890981376
1554535972750123008,ieiritron,asa fighting the war devil https://t.co/65Cedux1pK,2022-08-02 18:33:52+00:00,,Twitter for iPhone,https://twitter.com/ieiritron/status/1554535972750123008
1554532748618076162,Rod_anderis,"The Best Online Procreate Courses
👇
https://t.co/E4QxVu177I

#戦争の悪魔 #チェンソーマン #チェンソーマン2部 #csm #chainsawman #chainsawmanfanart #wardevil #manga #絵 #illust #art #artwork #illustration #artist #CSP #digitalart #procreate #いらすと #イラスト https://t.co/HUHINCZND2",2022-08-02 18:21:03+00:00,,Twitter for Android,https://twitter.com/Rod_anderis/status/1554532748618076162
1554531277512081411,Weezer_Disliker,War Devil proving to be a great South Side Chicago resident https://t.co/3XK4zbRcQX,2022-08-02 18:15:13+00:00,,Twitter Web App,https://twitter.com/Weezer_Disliker/status/1554531277512081411
